Line 1: KW_class -> class
Line 24: NUMBER_INTEGER -> 10
Line 24: RPAREN -> )
Line 24: PUNC_LBLOCK -> :::
Line 25: KW_likh -> likh
Line 25: LPAREN -> (
Line 25: STRING_LITERAL -> "Count chhota hai"
Line 25: RPAREN -> )
Line 25: PUNC_END -> ~>
Line 26: KW_nahiTa -> nahiTa
Line 26: PUNC_LBLOCK -> :::
Line 27: KW_likh -> likh
Line 27: LPAREN -> (
Line 27: STRING_LITERAL -> "Count vadda hai"
Line 27: RPAREN -> )
Line 27: PUNC_END -> ~>
Line 28: PUNC_RBLOCK -> :::;
Line 29: KW_jaari -> jaari
Line 29: PUNC_END -> ~>
Line 30: PUNC_RBLOCK -> :::;
Line 33: KW_dekh -> dekh
Line 33: LPAREN -> (
Line 33: IDENTIFIER -> count
Line 33: RPAREN -> )
Line 33: PUNC_LBLOCK -> :::
Line 34: KW_halat -> halat
Line 34: NUMBER_INTEGER -> 0
Line 34: COLON -> :
Line 34: KW_likh -> likh
Line 34: LPAREN -> (
Line 34: STRING_LITERAL -> "Zero"
Line 34: RPAREN -> )
Line 34: PUNC_END -> ~>
Line 35: KW_halat -> halat
Line 35: NUMBER_INTEGER -> 3
Line 35: COLON -> :
Line 35: KW_likh -> likh
Line 35: LPAREN -> (
Line 35: STRING_LITERAL -> "Tee"
Line 35: RPAREN -> )
Line 35: PUNC_END -> ~>
Line 36: KW_halat -> halat
Line 36: NUMBER_INTEGER -> 6
Line 36: COLON -> :
Line 36: KW_likh -> likh
Line 36: LPAREN -> (
Line 36: STRING_LITERAL -> "Chhe"
Line 36: RPAREN -> )
Line 36: PUNC_END -> ~>
Line 37: KW_nahiTa -> nahiTa
Line 37: PUNC_LBLOCK -> :::
Line 38: KW_likh -> likh
Line 38: LPAREN -> (
Line 38: STRING_LITERAL -> "Kujh hor"
Line 38: RPAREN -> )
Line 38: PUNC_END -> ~>
Line 39: PUNC_RBLOCK -> :::;
Line 40: KW_mukao -> mukao
Line 40: PUNC_END -> ~>
Line 43: KW_nava -> nava
Line 43: IDENTIFIER -> badString
Line 43: OP_LT -> <
Line 43: OP_MINUS -> -
Line 44: OP_LT -> <
Line 44: OP_MINUS -> -
Line 44: NUMBER_INTEGER -> 5
Line 44: PUNC_END -> ~>
Line 47: PUNC_RBLOCK -> :::;
